Data for Z=79, E=2-433 keV
    E              f1 
   keV           e atom-1

4.8124036E+00  7.53228E+01
4.8364656E+00  7.53522E+01
4.8606479E+00  7.53804E+01
4.8849512E+00  7.54076E+01
4.9093759E+00  7.54337E+01
4.9339228E+00  7.54588E+01
4.9585924E+00  7.54830E+01
4.9833854E+00  7.55061E+01
5.0083023E+00  7.55284E+01
5.0333438E+00  7.55498E+01
5.0585105E+00  7.55703E+01
5.0838031E+00  7.55900E+01
5.1092221E+00  7.56090E+01
5.1347682E+00  7.56271E+01
5.1604421E+00  7.56445E+01
5.1862443E+00  7.56612E+01
5.2121755E+00  7.56772E+01
5.2382364E+00  7.56925E+01
5.2644276E+00  7.57071E+01
5.2907497E+00  7.57212E+01
5.3172034E+00  7.57346E+01
5.3437895E+00  7.57475E+01
5.3705084E+00  7.57598E+01
5.3973609E+00  7.57716E+01
5.4243477E+00  7.57828E+01
5.4514695E+00  7.57936E+01
5.4787268E+00  7.58040E+01
5.5061205E+00  7.59134E+01
5.5336511E+00  7.59232E+01
5.5613193E+00  7.59322E+01
5.5891259E+00  7.59404E+01
5.6170716E+00  7.59478E+01
5.6451569E+00  7.59546E+01
5.6733827E+00  7.59606E+01
5.7017496E+00  7.59660E+01
5.7302584E+00  7.59708E+01
5.7589096E+00  7.59750E+01
5.7877042E+00  7.59785E+01
5.8166427E+00  7.59816E+01
5.8457259E+00  7.59841E+01
5.8749546E+00  7.59860E+01
5.9043293E+00  7.59875E+01
5.9338510E+00  7.59884E+01
5.9635202E+00  7.59890E+01
5.9933378E+00  7.59890E+01
6.0233045E+00  7.59886E+01
6.0534210E+00  7.59878E+01
6.0836882E+00  7.59865E+01
6.1141066E+00  7.59849E+01
6.1446771E+00  7.59829E+01
6.1754005E+00  7.59805E+01
6.2062775E+00  7.59777E+01
6.2373089E+00  7.59746E+01
6.2684954E+00  7.59712E+01
6.2998379E+00  7.60088E+01
6.3313371E+00  7.60049E+01
6.3629938E+00  7.60006E+01
6.3948088E+00  7.59959E+01
6.4267828E+00  7.59906E+01
6.4589167E+00  7.59849E+01
6.4912113E+00  7.59788E+01
6.5236674E+00  7.59722E+01
6.5562857E+00  7.59653E+01
6.5890671E+00  7.59579E+01
6.6220125E+00  7.59502E+01
6.6551225E+00  7.59421E+01
6.6883981E+00  7.59337E+01
6.7218401E+00  7.59248E+01
6.7554493E+00  7.59156E+01
6.7892266E+00  7.59061E+01
6.8231727E+00  7.58961E+01
6.8572886E+00  7.59023E+01
6.8915750E+00  7.58919E+01
6.9260329E+00  7.58810E+01
6.9606631E+00  7.58698E+01
6.9954664E+00  7.58583E+01
7.0304437E+00  7.58463E+01
7.0655959E+00  7.58340E+01
7.1009239E+00  7.58214E+01
7.1364285E+00  7.58084E+01
7.1721107E+00  7.57951E+01
7.2079712E+00  7.57815E+01
7.2440111E+00  7.57676E+01
7.2802311E+00  7.57533E+01
7.3166323E+00  7.57387E+01
7.3532155E+00  7.57238E+01
7.3899815E+00  7.57086E+01
7.4269314E+00  7.56931E+01
7.4640661E+00  7.56773E+01
7.5013864E+00  7.56611E+01
7.5388934E+00  7.56447E+01
7.5765878E+00  7.56280E+01
7.6144708E+00  7.56110E+01
7.6525431E+00  7.55937E+01
7.6908058E+00  7.55761E+01
7.7292599E+00  7.55582E+01
7.7679062E+00  7.55400E+01
7.8067457E+00  7.55215E+01
7.8457794E+00  7.55028E+01
7.8850083E+00  7.54837E+01
7.9244334E+00  7.54644E+01
7.9640555E+00  7.54447E+01
8.0038758E+00  7.54248E+01
8.0438952E+00  7.54046E+01
8.0841147E+00  7.53841E+01
8.1245352E+00  7.53633E+01
8.1651579E+00  7.53422E+01
8.2059837E+00  7.53208E+01
8.2470136E+00  7.52992E+01
8.2882487E+00  7.52772E+01
8.3296899E+00  7.52550E+01
8.3713384E+00  7.52325E+01
8.4131951E+00  7.52097E+01
8.4552610E+00  7.51867E+01
8.4975373E+00  7.51634E+01
8.5400250E+00  7.51399E+01
9.030794E+00  7.49382E+01
9.653919E+00  7.44523E+01
1.032004E+01  7.37229E+01
1.103212E+01  7.25078E+01
1.168033E+01  6.98967E+01
1.179334E+01  6.86327E+01
1.185911E+01  6.71655E+01
1.190678E+01  6.39647E+01
1.197829E+01  6.71528E+01
1.215707E+01  6.99622E+01
1.260708E+01  7.18985E+01
1.345893E+01  7.20537E+01
1.347697E+01  7.20042E+01
1.366493E+01  7.08490E+01
1.371987E+01  6.92676E+01
1.380227E+01  7.09132E+01
1.400827E+01  7.23549E+01
1.406574E+01  7.25220E+01
1.428104E+01  7.25469E+01
1.433845E+01  7.18746E+01
1.440688E+01  7.27129E+01
1.442456E+01  7.29020E+01
1.463986E+01  7.40777E+01
1.540095E+01  7.58488E+01
1.646362E+01  7.70993E+01
1.759961E+01  7.78742E+01
1.881398E+01  7.83937E+01
2.011215E+01  7.87403E+01
2.149988E+01  7.89707E+01
2.298338E+01  7.91216E+01
2.456923E+01  7.92758E+01
2.626450E+01  7.93291E+01
2.807676E+01  7.94002E+01
3.001405E+01  7.94096E+01
3.208502E+01  7.93581E+01
3.429889E+01  7.92868E+01
3.666551E+01  7.92030E+01
3.919543E+01  7.91108E+01
4.189992E+01  7.90127E+01
4.479101E+01  7.89100E+01
4.788159E+01  7.88030E+01
5.118542E+01  7.86909E+01
5.471721E+01  7.85707E+01
5.849270E+01  7.84367E+01
6.252870E+01  7.82813E+01
6.684318E+01  7.80842E+01
7.145536E+01  7.78014E+01
7.638578E+01  7.72704E+01
7.911040E+01  7.65488E+01
8.032127E+01  7.54855E+01
8.064417E+01  7.42123E+01
8.112852E+01  7.55407E+01
8.165640E+01  7.62370E+01
8.233940E+01  7.67032E+01
8.729069E+01  7.79164E+01
9.331374E+01  7.84584E+01
9.975239E+01  7.87653E+01
1.066353E+02  7.89609E+01
1.139931E+02  7.90922E+01
1.218587E+02  7.91810E+01
1.302669E+02  7.92389E+01
1.392553E+02  7.92755E+01
1.488640E+02  7.92969E+01
1.591356E+02  7.93074E+01
1.701159E+02  7.93102E+01
1.818539E+02  7.93069E+01
1.944018E+02  7.92990E+01
2.078156E+02  7.92880E+01
2.221548E+02  7.92750E+01
2.374835E+02  7.92607E+01
2.538699E+02  7.92457E+01
2.713869E+02  7.92304E+01
2.901126E+02  7.92152E+01
3.101304E+02  7.92002E+01
3.315294E+02  7.91857E+01
3.544049E+02  7.91718E+01
3.788588E+02  7.91585E+01
4.050001E+02  7.91459E+01
4.329451E+02  7.91340E+01
